[option](waist_size)Waist Size,[option](inseam)Inseam,[property](color)Color,[property](style)Style,quantity,master_sku,sku,name,price,available_on,description,meta_description,meta_keywords,cost_price
24,30,Jac's Jean,13942,22,13942-BLC11,13942-BLC11-24X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
25,30,Jac's Jean,13942,43,13942-BLC11,13942-BLC11-25X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
26,30,Jac's Jean,13942,74,13942-BLC11,13942-BLC11-26X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
27,30,Jac's Jean,13942,85,13942-BLC11,13942-BLC11-27X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
28,30,Jac's Jean,13942,63,13942-BLC11,13942-BLC11-28X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
29,30,Jac's Jean,13942,51,13942-BLC11,13942-BLC11-29X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
30,30,Jac's Jean,13942,37,13942-BLC11,13942-BLC11-30X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
31,30,Jac's Jean,13942,26,13942-BLC11,13942-BLC11-31X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
32,30,Jac's Jean,13942,14,13942-BLC11,13942-BLC11-32X30,The Skinny - Jac's Jean,175,11/10/2013,pants,,,
24,30,Little Fishes Wash,13942,19,13942-BLC13,13942-BLC13-24X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
25,30,Little Fishes Wash,13942,46,13942-BLC13,13942-BLC13-25X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
26,30,Little Fishes Wash,13942,64,13942-BLC13,13942-BLC13-26X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
27,30,Little Fishes Wash,13942,77,13942-BLC13,13942-BLC13-27X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
28,30,Little Fishes Wash,13942,58,13942-BLC13,13942-BLC13-28X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
29,30,Little Fishes Wash,13942,43,13942-BLC13,13942-BLC13-29X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
30,30,Little Fishes Wash,13942,31,13942-BLC13,13942-BLC13-30X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
31,30,Little Fishes Wash,13942,21,13942-BLC13,13942-BLC13-31X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
32,30,Little Fishes Wash,13942,13,13942-BLC13,13942-BLC13-32X30,The Skinny - Little Fishes Wash,175,11/10/2013,pants,,,
24,27,Dove Wings,13943,14,13943-BLC15,13943-BLC15-24X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
25,27,Dove Wings,13943,19,13943-BLC15,13943-BLC15-25X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
26,27,Dove Wings,13943,23,13943-BLC15,13943-BLC15-26X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
27,27,Dove Wings,13943,33,13943-BLC15,13943-BLC15-27X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
28,27,Dove Wings,13943,33,13943-BLC15,13943-BLC15-28X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
29,27,Dove Wings,13943,20,13943-BLC15,13943-BLC15-29X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
30,27,Dove Wings,13943,20,13943-BLC15,13943-BLC15-30X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
31,27,Dove Wings,13943,13,13943-BLC15,13943-BLC15-31X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
32,27,Dove Wings,13943,7,13943-BLC15,13943-BLC15-32X27,The Ciggi - Dove Wings,165,11/10/2013,pants,,,
24,27,Black G/D,13943,0,13943-BK207,13943-BK207-24X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,
25,27,Black G/D,13943,0,13943-BK207,13943-BK207-25X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,
26,27,Black G/D,13943,0,13943-BK207,13943-BK207-26X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,
27,27,Black G/D,13943,0,13943-BK207,13943-BK207-27X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,
28,27,Black G/D,13943,0,13943-BK207,13943-BK207-28X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,
29,27,Black G/D,13943,0,13943-BK207,13943-BK207-29X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,
30,27,Black G/D,13943,0,13943-BK207,13943-BK207-30X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,
31,27,Black G/D,13943,0,13943-BK207,13943-BK207-31X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,
32,27,Black G/D,13943,0,13943-BK207,13943-BK207-32X27,The Ciggi - Black G/D,165,12/9/2013,pants,,,