Style Number,Name,Grid Order,Available On,Font Details,Method,Attachment,Style(bbgl_style),Intro Symbol,Font(bbgl_font),Status,Material Type,Summary,Category,Type,Vendor,SKU,Price,Material,Color(bbgl_material),Chain Color,Chain Length Image(bundlr_chain_image),Size Image(bundlr_size_image),Character Min,Character Max,Caps,Font Type,Size(bbgl_size),Measurements,Chain Length,Closure,Turnaround Weeks,Nickel-Free,Font File,Additional Information
1E,Medium Script Monogram,1,6/4/2013,Monogram Script Font 1,3D Render,rings,monogram,,Monogram_Script_Font_1,FONT DONE,metal,"2 metals, 2 chain lengths",Necklace,Circle,Private Label (Gem Factor),2481_CUS_FINAL_GL,$110,"14K Gold-Plated Sterling Silver, Sterling Silver","14kt Gold Fill, Sterling Silver",,16in-18in,medium-only,2,3,upper,Script,Medium,"Pendant diameter: 7/8""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: Available in: 14kt Gold-Plated Sterling Silver or Sterling Silver
MEASUREMENTS: Length: 16"" or 18"", Pendant: 7/8""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: 4 weeks</p>"
11,Initial Charm Ring,2,6/4/2013,photos,PHOTOGRAPH x 26,NA,singleLetter,,Initial_Charm_Ring,Photos done,metal,"1 Metal, Ring sizes 6-8",Ring,Single Initial,Private Label (a.v. max),6752-U_CUS_FINAL_GL,$32,22k Gold-Plated Brass,Gold,,,6.7.8,1,1,upper,Block,"6,7,8","Band: 1mm, Charm: 0.5""",,,3,N,N,"<h1>SIZE & MATERIALS</h1>

<p>MATERIALS: 22kt Gold-Plated Brass
MEASUREMENTS: Width: 1mm, Charm: 0.5""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 3 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 3 weeks, even when overnight delivery is selected</p>"
7A,Block Acrylic Nameplate,3,6/4/2013,Type Block Font 1,3D Render,rings,stringChars,,Type_Block_Font_1,FONT DONE,acrylic,"20+ colors colors, 1 chain lengths, 2 chain metals",Necklace,Nameplate,Moon & Lola,ML_ASN_CUS_FINAL_GL,$48,"Acrylic, Gold Fill, Sterling Silver","Ebony, Chocolate, Antique Gold, Ivory, White, Gunmetal, Slate, Navy, Cobalt, Caribbean Blue, Turquoise, Robin's Egg, Carolina Blue, Emerald, Mint, Lemon, Tangerine, Violet, Garnet, Ruby, Neon Pink, Hot Pink, Blush","Gold Fill, Sterling Silver ",16in,medium-only,2,12,title,Block Letters,Medium,,"16"" w 3"" ext",Springform Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: Acrylic, Gold Fill, Sterling Silver
MEASUREMENTS: Length: 16"" with a 3"" extender</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 Weeks, even when overnight delivery is selected</p>"
16B,Script Nameplate Necklace,4,6/4/2013,Type Script 2,3D Render,rings,stringChars,,Type_Script_Font_2,FONT DONE,metal,"2 Metals, 2 Chain Lengths",Necklace,Nameplate,Private Label (Gem Factor),2474_CUS_FINAL_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Yellow Gold (+$10), Silver",,16in-18in,medium-only,2,12,any,Script,Medium,"0.5""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: Available in: 14kt Gold-Plated Sterling Silver or Sterling Silver
MEASUREMENTS: - Length: 16"" or 18"", text height: 0.375""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: 4 weeks</p>"
1A,Large Block Monogram,5,6/4/2013,Monogram Block Font 1,3D Render,rings,monogram,,Monogram_Block_Font_1,FONT DONE,metal,"2 metals, 2 chain lengths",Necklace,Circle,Private Label (Gem Factor),6898_CUS_FINALSALE_GL,$120,"14K Gold-Plated Sterling Silver, Sterling Silver","Gold (+$10), Silver",,16in-18in,large-only,2,3,upper,Block,Large,"Pendant diameter: 1 1/4""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Lobster clasp
MATERIALS: 14kt gold-plated sterling silver, sterling silver
MEASUREMENTS: Pendant: 1.25""
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
13,Mini Letter Bracelet,6,6/4/2013,photos,PHOTOGRAPH x 26,Use photo,singleLetter,,Mini_Letter_Bracelet,Photos done,metal,"2 Metals, 2 Chain Lenghts",Bracelet,Single Initial,Maya Brenner,0003_MB_CUS_FINAL_GL,$185,"14k Gold, 14k White Gold","14k Gold, 14k White Gold",,6.25in-6.75in,,1,1,upper,Block,,"Letter: 0.25""","6.25"" petite , 6.75"" standard",Springform Clasp,4,Y,Y,"<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: spring ring closure
MATERIALS: available in: 14k gold and 14k white gold
MEASUREMENTS: length available in: 6.25"" and 6.75"", letter size: .25""<p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 3 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 3 weeks</p>"
2A,Acrylic Block Monogram,7,6/4/2013,Monogram Block Font 2,3D Render,holes in letters,monogram,,Monogram_Block_Font_2,FONT DONE,acrylic,"20+ colors colors, 1 chain lengths, 2 chain metals, 3 sizes",Necklace,Circle,Moon & Lola,ML_ABM_CUS_FINAL_GL,$58,"Acrylic, Gold Fill, Sterling Silver","Ebony, Chocolate, Antique Gold, Ivory, White, Gunmetal, Slate, Navy, Cobalt, Caribbean Blue, Turquoise, Robin's Egg, Carolina Blue, Emerald, Mint, Lemon, Tangerine, Violet, Garnet, Ruby, Neon Pink, Hot Pink, Blush","Gold Fill,  Sterling Silver",16in,mini-medium-large,2,3,upper,Block,"Small 1"" charm, Medium 1.25"" charm  (+$10), Large  1.625"" charm (+$20)","Small - 1"", Medium - 1.25"",  Large - 1.625""","16""",Springform Clasp,4,Y,Y,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: Acrylic, Gold Fill, Sterling Silver
MEASUREMENTS: Note that three sizes are available: Small (1” charm on 16” chain with 3” extension), Medium (1.25” charm on 16” chain with 3” extension), and Large (1.625” charm on 16” chain with 3” extension).</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 Weeks, even when overnight delivery is selected</p>"
14,Asymmetrical Mini Letter Necklace - One Letter,8,6/4/2013,photos,PHOTOGRAPH x 26,Use photo,singleLetter,,Mini_Letter_Necklace,Photos done,metal,"2 Metals, 2 Chain Lenghts",Necklace,Single Initial,Maya Brenner,0001_MB_CUS_FINAL_GL,$220,"14k Gold, 14k White Gold","14k Gold, 14k White Gold",,16in-18inextra,mini-only,1,1,upper,Block,Mini,"Letter: 0.25""","16"", 18"" (+$25)",Springform Clasp,3,Y,Y,"<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: spring ring closure
MATERIALS: available in: 14k gold and 14k white gold
MEASUREMENTS: length: 16"" or 18"", letter size: .25""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 3 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 3 weeks</p>"
2B,Acrylic Script Monogram,9,6/4/2013,Monogram Script Font 2,3D Render,around swirls,monogram,,Monogram_Script_Font_2,FONT DONE,acrylic,"20+ colors colors, 1 chain lengths, 2 chain metals, 3 sizes",Necklace,Circle,Moon & Lola,ML_ASM_CUS_FINAL_GL,$58,"Acrylic, Gold Fill, Sterling Silver","Ebony, Chocolate, Antique Gold, Ivory, White, Gunmetal, Slate, Navy, Cobalt, Caribbean Blue, Turquoise, Robin's Egg, Carolina Blue, Emerald, Mint, Lemon, Tangerine, Violet, Garnet, Ruby, Neon Pink, Hot Pink, Blush","Gold Fill, Sterling Silver",16in,mini-medium-large,2,3,upper,Script,"Small 1"" charm, Medium 1.25"" charm (+$10), Large 1.625"" charm (+$20)","Small - 1"", Medium - 1.25"" (+$10), Large - 1.625"" (+$20)","16""",Springform Clasp,4,Y,Y,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIAL</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: Acrylic, Gold Fill, Sterling Silver
MEASUREMENTS: Note that three sizes are available: Small (1” charm on 16” chain with 3” extension), Medium (1.25” charm on 16” chain with 3” extension), and Large (1.625” charm on 16” chain with 3” extension).</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 Weeks, even when overnight delivery is selected</p>"
5,Stackable Shea Initial Ring,10,6/4/2013,Initials (photos),Photos,NA,singleLetter,,Shea_Initial_Ring,Photos done,metal,2 metals,Ring,Initial,Sarah Chloe,7311_SC_CUS_FINALSALE_GL,$69,sterling silver or yellow gold plated,"Yellow gold plated, Sterling Silver",,,7-only,1,1,upper,Block,7,"Band: 2mm, Letter Apx: 5mm",,,4,Y,N,"<h1>SIZE & MATERIALS</h1>

<p>MATERIALS: sterling silver or yellow gold plated
MEASUREMENTS: Letter (approximate): 5mm</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: Your package includes a pre-paid USPS return label so you can easily send us your return.
Delivery Detail: This item ships in 4 weeks, even if overnight delivery is selected.</p>"
16E,Mini Block Nameplate Necklace,11,6/4/2013,Type Block Font 2,3D Render,rings,stringChars,,Type_Block_Font_2,FONT DONE,metal,"2 Metals, 2 Chain Lengths",Necklace,Nameplate,Private Label (Gem Factor),6893_CUS_FINALSALE_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Gold (+$10), Silver",,16in-18in,mini-only,2,12,any,Block,Mini,"0.25""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Lobster Clasp
MATERIALS: 14kt gold-plated sterling silver, sterling silver
MEASUREMENTS: text size: 5mm
ALLERGY INFO: This item is Nickel-Free</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>

"
7B,Script Acrylic Nameplate,12,6/4/2013,Type Script Font 1,3D Render,rings,stringChars,,Type_Script_Font_1,FONT DONE,acrylic,"20+ colors colors, 1 chain lengths, 2 chain metals",Necklace,Nameplate,Moon & Lola,ML_ASN_CUS_FINAL_GL,$48,"Acrylic, Gold Fill, Sterling Silver","Ebony, Chocolate, Antique Gold, Ivory, White, Gunmetal, Slate, Navy, Cobalt, Caribbean Blue, Turquoise, Robin's Egg, Carolina Blue, Emerald, Mint, Lemon, Tangerine, Violet, Garnet, Ruby, Neon Pink, Hot Pink, Blush","Gold Fill, Sterling Silver",16in,medium-only,2,12,title,Script Letters,Medium,,"16"" w 3"" ext",Springform Clasp,4,Y,Y,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Springform Clasp
MATERIALS: Acrylic, Gold Fill, Sterling Silver
MEASUREMENTS: Length: 16"" with a 3"" extender</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 Weeks, even when overnight delivery is selected</p>"
15,Mini Initial Pendant,13,6/4/2013,photos,PHOTOGRAPH x 26,Use photo,singleLetter,,Mini_Initial_Pendant,Photos done,metal,1 Metal,Necklace,Single Initial,K Kane,0001_KK_CUS_FINALSALE_GL,$145,"18k Rose Gold Vermeil, 18k Gold Vermeil",Gold,,18in,mini-only,1,1,upper,Script,Mini,"Pendant: 0.65""","18""",Lobster Clasp,,Y,Y,"<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: 18K Gold Vermeil
MEASUREMENTS: 18"" chain, pendant size: .65""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item is available for immediate shipping
Return Eligibility: Your package includes a pre-paid USPS return label so you can easily send us your return.</p>"
16C,Twitter-Plate,14,6/4/2013,Type Block Font  2 or Type Script Font 2,3D Render,rings,twitterHandle,"#,@",Type_Script_Font_2,FONT DONE,metal,"2 Metals, 2 Chain Lengths, 2 Type Faces",Necklace,Nameplate,Private Label (Gem Factor),3003_CUS_FINAL_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Yellow Gold (+$10), Silver",,16in-18in,medium-only,2,12,any,"Block, Script",Medium,"0.5""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: lobster clasp
MATERIALS: Available in: 14kt Gold-Plated Sterling Silver or Sterling Silver
MEASUREMENTS: Text height: 0.5""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: 4 weeks</p>"
12,Initial Signet Ring,15,6/4/2013,photos,PHOTOGRAPH x 26,NA,singleLetter,,Initial_Signet_Ring,Photos done,metal,"1 Metal, Ring sizes 6-8",Ring,Single Initial,Private Label (a.v. max),6751-U_CUS_FINAL_GL,$32,22k Gold-Plated Brass,Gold,Gold,,6.7.8,1,1,upper,Script,"6,7,8","Band: 3mm, Disc: 0.5""",,,3,N,N,"<h1>SIZE & MATERIALS</h1>

<p>MATERIALS: 22kt Gold-Plated Brass
MEASUREMENTS: Width: 3mm, Disc Diameter: 0.5""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 3 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 3 weeks, even when overnight delivery is selected</p>"
1F,Mini Script Monogram,16,6/4/2013,Monogram Script Font 1,3D Render,rings,monogram,,Monogram_Script_Font_1,FONT DONE,metal,"2 metals, 2 chain lengths",Necklace,Circle,Private Label (Gem Factor),3579_CUS_FINAL_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Yellow Gold (+$10), Silver",,16in-18in,mini-only,2,3,upper,Script,Mini,"Pendant diameter: 0.4""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Lobster Clasp
MATERIALS: 14kt Gold-Plated Sterling Silver, Sterling Silver
MEASUREMENTS: Length: 16"" or 18"", Pendant diameter: 0.4""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
1C,Mini Block Monogram,17,6/4/2013,Monogram Block Font 1,3D Render,rings,monogram,,Monogram_Block_Font_1,FONT DONE,metal,"2 metals, 2 chain lengths",Necklace,Circle,Private Label (Gem Factor),6896_CUS_FINALSALE_GL,$100,"14K Gold-Plated Sterling Silver, Sterling Silver","Gold (+$10), Silver",,16in-18in,mini-only,2,3,upper,Block,Mini,"Pendant diameter: 0.4""","16"", 18""",Lobster Clasp,4,Y,N,"<h1>SPECIAL INSTRUCTIONS</h1>

<p>All personalizations will be produced EXACTLY as submitted and in accordance to the product's personalization standards. Once you place an order it cannot be cancelled or altered due to the customization of the item. FINAL SALE ONLY.</p>

<p>Traditional monogrammed initials are ordered First Name initial, Last Name initial, and Middle or Maiden Name initial.</p>

<h1>SIZE & MATERIALS</h1>

<p>CLOSURE: Lobster Clasp
MATERIALS: 14kt Gold-Plated Sterling Silver, Sterling Silver
MEASUREMENTS: Length: 16"" or 18"", Pendant diameter: 0.4""</p>

<h1>DELIVERY & RETURNS</h1>

<p>Expected Delivery: This item ships in 4 weeks
Return Eligibility: This item is Final Sale and not eligible for returns.
Delivery Detail: Ships in 4 weeks, even when overnight delivery is selected</p>"
